Linea,Criadero,Status,Origen,Año,CNN/CS,1AL/1RS,1BL/1RS,Glu-A1,Glu-B1,Glu-D1
P04953,INTA Pergamino,Linea,CBN,2005,CS,NO,NO,1,7+ 9,5+10
P04966,INTA Pergamino,Linea,CBN,2005,CS,NO,NO,1,7+ 8,5+10
R04001,INTA Marcos Juarez,Linea,CBN,2005,CS,SI,NO,2*,7+ 8,5+10
R04002,INTA Marcos Juarez,Linea,CBN,2005,CS,SI,NO,2*,7+ 8,5+10
R04003,INTA Marcos Juarez,Linea,CBN,2005,CS,NO,SI,1,7+ 9,5+10
R04004,INTA Marcos Juarez,Linea,CBN,2005,CS,NO,SI,1,7+ 9,5+10
R04006,INTA Marcos Juarez,Linea,CBN,2005,CS,SI,NO,2*,7+ 8,5+10
R04008,INTA Marcos Juarez,Linea,CBN,2005,CS,SI,NO,2*,7+ 8,5+10
R04010,INTA Marcos Juarez,Linea,CBN,2005,CS,SI,NO,2*,7+ 8,5+10
T00114,INTA Parana,Linea,CBN,2005,CS,NO,NO,1,7+ 8,5+10
T00115,INTA Parana,Linea,CBN,2005,CS,NO,SI,1,7+ 9,5+10
T00124,INTA Parana,Linea,CBN,2005,CS,NO,SI,1/2*,7+9,5+10
V00833,INTA Bordenave,Linea,CBN,2005,CS,NO,NO,1/2*,7+ 8,5+10
V00860,INTA Bordenave,Linea,CBN,2005,CS,NO,SI,2*/nulo,7+9,5+10
V00770,INTA Bordenave,Linea,CBN,2005,CS,NO,SI,2*,7+ 8,5+10
V00858,INTA Bordenave,Linea,CBN,2005,CS,NO,NO,1/2*,7+ 8,5+10
V00871,INTA Bordenave,Linea,CBN,2005,CNN,NO,NO,2*,7+ 8,5+10
W99020,INTA Barrow,Linea,CBN,2005,CS,NO,NO,2*,7+ 8,5+10
W01041,INTA Barrow,Linea,CBN,2005,CNN,NO,NO,2*,7+ 8,5+10
Arche,,Variedad,CBN,2005,CS,NO,NO,nulo,6+8,2+12
Soissons,,Variedad,CBN,2005,CS,NO,NO,2*,7+ 8,5+10
Bacanora,,Variedad,CBN,2005,CS,NO,SI,2*,7+9,5+10
Greina,,Variedad,CBN,2005,CS,NO,NO,2*,7+9,5+10
