Linea,Criadero,Status,Origen,Año,CNN/CS,1AL/1RS,1BL/1RS,Glu-A1,Glu-B1,Glu-D1
W06007,INTA Barrow,Linea,CBS,2007,CS,NO,NO,1,7+8,2+12
W06009,INTA Barrow,Linea,CBS,2007,CS,NO,NO,2*,7+8,5+10
W06010,INTA Barrow,Linea,CBS,2007,CS,NO,NO,2*/nulo,7+8,2+12
W06011,INTA Barrow,Linea,CBS,2007,CS,NO,NO,2*/nulo,7+8,2+12
W06012,INTA Barrow,Linea,CBS,2007,CS,NO,NO,2*,7+8,5+10
W06013,INTA Barrow,Linea,CBS,2007,CS,NO,NO,1,7+8,5+10
W06014,INTA Barrow,Linea,CBS,2007,CS,NO,SI,2*,7,5+10
W06015,INTA Barrow,Linea,CBS,2007,CNN,NO,NO,2*,7+8,5+10
W06016,INTA Barrow,Linea,CBS,2007,CNN,NO,NO,2*,7+8,5+10
W06017,INTA Barrow,Linea,CBS,2007,CS,NO,NO,2*,7+8,5+10
W06018,INTA Barrow,Linea,CBS,2007,CS,NO,NO,nulo,,
B08102,INTA Balcarce,Linea,CBS,2007,CNN,NO,SI,2*,7+9,5+10
B08804,INTA Balcarce,Linea,CBS,2007,CS,NO,NO,1,17+18,5+10
B09404,INTA Balcarce,Linea,CBS,2007,CS,NO,NO,2*,7+9,5+10
B06405,INTA Balcarce,Linea,CBS,2007,CS,NO,SI,1,,2+12
B09605,INTA Balcarce,Linea,CBS,2007,CS,NO,NO,2*,7+9,5+10
B09705,INTA Balcarce,Linea,CBS,2007,CS,NO,NO,2*,7+9,5+10
B10305,INTA Balcarce,Linea,CBS,2007,CS,NO,SI,2*/nulo,7+9/17+18,2+12
B11705,INTA Balcarce,Linea,CBS,2007,CS,NO,SI,1,7+9,2+12/5+10
B12305,INTA Balcarce,Linea,CBS,2007,CS,NO,SI,2*,7+9,5+10
B12905,INTA Balcarce,Linea,CBS,2007,CS,NO,SI,2*/nulo,7+9,2+12
B13005,INTA Balcarce,Linea,CBS,2007,CS,NO,NO,2*,7+9,5+10
B15405,INTA Balcarce,Linea,CBS,2007,CS,NO,NO,2*,7+8,5+10
B17205,INTA Balcarce,Linea,CBS,2007,CS,NO,SI,2*,7+9,5+10
B17805,INTA Balcarce,Linea,CBS,2007,CS,NO,NO,2*/nulo,13+16,2+12
MILLENUIM                                                   ,,Variedad,CBS,2007,CNN,NO,NO,2*,7+9,5+10
DRONG HORN                                                  ,,Variedad,CBS,2007,CNN,NO,NO,2*,7+9,5+10
GOOD STREAK                                                 ,,Variedad,CBS,2007,CS,NO,NO,2*,7+9,5+10
V00328,INTA Bordenave,Linea,CBS,2007,CS,NO,NO,2*,17+18,5+10
V00713,INTA Bordenave,Linea,CBS,2007,CS,NO,SI,2*,7+8,5+10
V00723,INTA Bordenave,Linea,CBS,2007,CS,NO,NO,1,7+8,5+10
V00858,INTA Bordenave,Linea,CBS,2007,CS,NO,NO,1,7+8,5+10
V00871,INTA Bordenave,Linea,CBS,2007,CNN,NO,NO,2*,7+8,5+10
V00882,INTA Bordenave,Linea,CBS,2007,CS,NO,NO,1,7+8,5+10
V00885,INTA Bordenave,Linea,CBS,2007,CS,NO,NO,1,7+8,5+10
V00889,INTA Bordenave,Linea,CBS,2007,CNN,NO,NO,1,14+15,5+10
V00893,INTA Bordenave,Linea,CBS,2007,CS,NO,NO,nulo,7+8,5+10
V00897,INTA Bordenave,Linea,CBS,2007,CS,NO,NO,2*,17+18,5+10
V00899,INTA Bordenave,Linea,CBS,2007,CS,NO,NO,1,17+18,5+10
V00900,INTA Bordenave,Linea,CBS,2007,CS,NO,NO,1,7+8,5+10
V00904,INTA Bordenave,Linea,CBS,2007,CS,NO,SI,2*,7+8,5+10
V00906,INTA Bordenave,Linea,CBS,2007,H,NO,NO,1,7+8,5+10
V00910,INTA Bordenave,Linea,CBS,2007,CS,NO,SI,2*,7+8,5+10
V00912,INTA Bordenave,Linea,CBS,2007,CS,NO,SI,2*,7+8,5+10
V00918,INTA Bordenave,Linea,CBS,2007,CS,NO,NO,1,17+18,5+10
V00920,INTA Bordenave,Linea,CBS,2007,CS,NO,NO,1,7+8,2+12
