Linea,Criadero,Status,Origen,Año,CNN/CS,1AL/1RS,1BL/1RS,Glu-A1,Glu-B1,Glu-D1
B07302,INTA Balcarce,Linea,,2005,CS,NO,NO,2*,7+8,5+10
B08102,INTA Balcarce,Linea,,2005,CNN,NO,SI,2*,7+9,5+10
B08302,INTA Balcarce,Linea,,2005,CS,NO,SI,1,7+9,5+10
B08402,INTA Balcarce,Linea,,2005,CS,NO,SI,1,7+9,5+10
B08802,INTA Balcarce,Linea,Regional III,2005,CS,NO,NO,2*,7+8,5+10
B10901,INTA Balcarce,Linea,Regional II,2005,CS,NO,NO,1,7+8/?,5+10
B11001,INTA Balcarce,Linea,Regional I,2005,CS,NO,SI,2*,7+9,5+10
B11301,INTA Balcarce,Linea,,2005,CS,NO,SI,2*/nulo,17+18,2+12
B12702,INTA Balcarce,Linea,Regional I,2005,CS,NO,SI,2*,17+18,5+10
B12800,INTA Balcarce,Linea,Regional II,2005,CNN?,NO,SI,2*,7+9,5+10
B13002,INTA Balcarce,Linea,Regional III,2005,CS,NO,SI,2*,7+9,5+10
B13202,INTA Balcarce,Linea,,2005,CS,NO,SI,2*,7+9,5+10
B13502,INTA Balcarce,Linea,,2005,CS,NO,NO,1,17+18,5+10
B16099,INTA Balcarce,Linea,,2005,CS,NO,SI,2*,7+9,5+10
J03001,INTA Marcos Juarez,Linea,Regional I,2005,CS,SI,NO,2*,7+9,5+10
J03004,INTA Marcos Juarez,Linea,Regional I,2005,CS,SI,NO,2*,7+9,5+10
J04010,INTA Marcos Juarez,Linea,Regional III,2005,CS,NO,NO,1,7+9,5+10
J04011,INTA Marcos Juarez,Linea,Regional III,2005,CS,NO,SI,1,7+8,5+10
J05001,INTA Marcos Juarez,Linea,,2005,CS,NO,NO,2*,7+8,5+10
J05002,INTA Marcos Juarez,Linea,,2005,CS,NO,NO,2*,7+8,5+12??
J05003,INTA Marcos Juarez,Linea,,2005,CS,NO,NO,2*/nulo,7+9,2+12
J05008,INTA Marcos Juarez,Linea,,2005,CS,NO,NO,1,17+18,5+10
J05009,INTA Marcos Juarez,Linea,,2005,CS,NO,SI,2*,7+9,5+10
J05010,INTA Marcos Juarez,Linea,,2005,CS,NO,SI,1,7+8,2+12
J05011,INTA Marcos Juarez,Linea,,2005,CS,NO,NO,nulo,17+18,2+12
J05012,INTA Marcos Juarez,Linea,,2005,CS,NO,SI,1,7+9,5+10
J05018,INTA Marcos Juarez,Linea,,2005,CS,NO,NO,1,7+9,5+10
J05019,INTA Marcos Juarez,Linea,,2005,CS,NO,SI,2*,7+9,5+10
J05021,INTA Marcos Juarez,Linea,,2005,CS,NO,NO,2*,7+9,5+10
JN03016,INTA Saenz Peña,Linea,Regional III,2005,CS,NO,NO,2*,7+9,5+10
JN04003,INTA Saenz Peña,Linea,Regional I,2005,CS,NO,SI,1,7+9,5+10
JN04014,INTA Saenz Peña,Linea,Regional III,2005,CS,NO,NO,2*,7+9,5+10
JN04015,INTA Saenz Peña,Linea,Regional III,2005,CS,NO,NO,2*,7+9,5+10
JN04016,INTA Saenz Peña,Linea,Regional III,2005,CS,NO,NO,1,17+18,5+10
JN05004,INTA Saenz Peña,Linea,,2005,CS,NO,NO,1,7+9,5+10
JN05006,INTA Saenz Peña,Linea,,2005,CS,NO,NO,1,7+9,2+12
JN05007,INTA Saenz Peña,Linea,,2005,CS,NO,NO,2*/nulo,7+8,2+12
JN05013,INTA Saenz Peña,Linea,,2005,CS,NO,NO,1,7+9/17+18,5+10
JN05014,INTA Saenz Peña,Linea,,2005,CS,NO,SI,1,7+9,5+10
JN05015,INTA Saenz Peña,Linea,,2005,CS,NO,SI,1,14+15?,5+10
JN05016,INTA Saenz Peña,Linea,,2005,CS,NO,SI,2*/nulo,7+9,2+12
JN05017,INTA Saenz Peña,Linea,,2005,CS,NO,NO,2*,17+18,5+10
JN05020,INTA Saenz Peña,Linea,,2005,CS,NO,NO,2*,7+9,5+10
P04308,INTA Pergamino,Linea,,2005,CS,NO,SI,2*,7+8/?,5+10
P04430,INTA Pergamino,Linea,Regional II,2005,CS,NO,SI,2*,7+9,5+10
P04473,INTA Pergamino,Linea,,2005,CS,NO,SI,2*/nulo,7+9,2+12
P04476,INTA Pergamino,Linea,Regional III,2005,CS,NO,SI,2*/nulo,7+9,2+12
P04537,INTA Pergamino,Linea,Regional I,2005,CS,NO,NO,2*/nulo,7+9,2+12
P04544,INTA Pergamino,Linea,,2005,CS,NO,SI,1,7+9,5+10
P04578,INTA Pergamino,Linea,Regional III,2005,CS,NO,NO,2*,7+9,5+10
P04695,INTA Pergamino,Linea,Regional I,2005,CS,NO,NO,1,7+8,5+10
P04736,INTA Pergamino,Linea,,2005,CS,NO,NO,1,7+8/17+18,5+10
P04788,INTA Pergamino,Linea,,2005,CS,NO,NO,1,7+9,5+10
P04802,INTA Pergamino,Linea,,2005,CS,NO,NO,1,7+8,5+10
P04805,INTA Pergamino,Linea,,2005,CS,NO,NO,2*,7+8,5+10
P04815,INTA Pergamino,Linea,,2005,CS,NO,NO,2*,7+8,5+10
P04836,INTA Pergamino,Linea,,2005,CS,NO,NO,1,17+18/7+9,5+10
P04854,INTA Pergamino,Linea,,2005,CS,NO,SI,1,7+9,5+10
P04855,INTA Pergamino,Linea,,2005,CS,NO,NO,1,17+18,5+10
R04001,INTA Marcos Juarez,Linea,Regional II,2005,CS,SI,NO,2*,7+8,5+10
R04002,INTA Marcos Juarez,Linea,Regional II,2005,CS,SI,NO,2*,7+8,5+10
R04003,INTA Marcos Juarez,Linea,Regional II,2005,CS,NO,SI,1,7+9,5+10
R04004,INTA Marcos Juarez,Linea,Regional II,2005,CS,NO,SI,1,7+9,5+10
R04006,INTA Marcos Juarez,Linea,,2005,CS,SI,NO,2*,7+8,5+10
R04008,INTA Marcos Juarez,Linea,,2005,CS,SI,NO,2*,7+8,5+10
R04010,INTA Marcos Juarez,Linea,,2005,CS,SI,NO,2*,7+8,5+10
T00114,INTA Parana,Linea,Regional III,2005,CS,NO,NO,1,7+8,5+10
T00115,INTA Parana,Linea,Regional III,2005,CS,NO,SI,1,7+9,5+10
T00124,INTA Parana,Linea,Regional III,2005,CS,NO,SI,1,7+9,5+10
T00125,INTA Parana,Linea,,2005,CS,NO,SI,2*,7+8,5+10
