Linea,Criadero,Status,Origen,Año,CNN/CS,1AL/1RS,1BL/1RS,Glu-A1,Glu-B1,Glu-D1
T00126,INTA Parana,Linea,,2005,CS,NO,NO,2*,7+8,5+10
T00127,INTA Parana,Linea,,2005,CS,NO,SI,2*,7+8/7+9,5+10
T00128,INTA Parana,Linea,,2005,CS,NO,SI,2*,7+9,5+10
T00129,INTA Parana,Linea,,2005,CS,NO,SI,2*,7+9,5+10
T00130,INTA Parana,Linea,,2005,CS,NO,NO,1,7+8/?,5+10
T00131,INTA Parana,Linea,,2005,CS,NO,NO,2*,7+8,5+10
T00132,INTA Parana,Linea,,2005,CS,NO,SI,2*,7+9,5+10
T00133,INTA Parana,Linea,,2005,CS,NO,SI,2*,7+9,5+10
T00134,INTA Parana,Linea,,2005,CS,NO,NO?,2*,7+9,5+10
T00135,INTA Parana,Linea,,2005,CS,NO,NO,1,13+16,5+10/2+12
T00136,INTA Parana,Linea,,2005,CS,NO,NO,1,7+8,5+10
T00137,INTA Parana,Linea,,2005,CS,NO,NO,1,7+8,5+10
V00703,INTA Bordenave,Linea,,2005,CS,NO,SI,1,7+8,5+10/2+12
V00770,INTA Bordenave,Linea,Regional II,2005,CS,NO,SI,2*,7+8,5+10
V00817,INTA Bordenave,Linea,,2005,CS,NO,NO,2*,17+18,5+10
V00830,INTA Bordenave,Linea,,2005,CS,NO,SI,1,7+9,5+10
V00832,INTA Bordenave,Linea,,2005,CS,NO,NO,2*,7+8,5+10
V00833,INTA Bordenave,Linea,Regional I,2005,CS,NO,NO,1,7+8,5+10
V00836,INTA Bordenave,Linea,,2005,CS,NO,NO,1,7+8,2+12
V00858,INTA Bordenave,Linea,Regional II,2005,CS,NO,NO,1,7+8,5+10
V00860,INTA Bordenave,Linea,Regional I,2005,CS,NO,SI,2*,7+9,5+10
V00871,INTA Bordenave,Linea,Regional II,2005,CNN,NO,NO,2*,7+8,5+10
V00876,INTA Bordenave,Linea,,2005,CS,NO,NO,1,17+18/?,5+10
W01041,INTA Barrow,Linea,Regional I,2005,CNN,NO,NO,2*,7+8,5+10
W03003,INTA Barrow,Linea,,2005,CS,NO,NO,1,7+8,5+10
W03011,INTA Barrow,Linea,,2005,CS,NO,NO,2*,17+18,5+10
W03018,INTA Barrow,Linea,,2005,CNN?,NO,NO,1,7+8,5+10
W03019,INTA Barrow,Linea,,2005,CNN?,NO,NO,2*,7+9,5+10
W03020,INTA Barrow,Linea,,2005,CS,NO,NO,2*,7+9,5+10
W99020,INTA Barrow,Linea,Regional I,2005,CS,NO,NO,2*,7+8,5+10
ACA 303,ACA,Variedad,,2005,CNN,NO,NO,2*,7+8,5+10
BAGUETTE 10,NIDERA,Variedad,,2005,CS,NO,NO,nulo,6+8,5+10
BAGUETTE 11,NIDERA,Variedad,,2005,CS,NO,NO,2*,7+8,5+10
BAGUETTE 13,NIDERA,Variedad,,2005,CS,NO,NO,2*,14+15?,5+10
BIOINTA 1000,INTA,Variedad,,2005,CNN,NO,NO,1,7+8,5+10
BIOINTA 1001,INTA,Variedad,,2005,CS,NO,SI,1,7+9,5+10
BIOINTA 2001,INTA,Variedad,,2005,CS,NO,NO,2*,7+8,5+10
BIOINTA 3000,INTA,Variedad,,2005,CS,NO,NO,1,7+8,5+10
BIGUÁ,BUCK,Variedad,,2005,CS,NO,NO,1,7+8,5+10
GUAPO,BUCK,Variedad,,2005,CS,NO,SI,1,7+8,5+10
MATACO,BUCK,Variedad,,2005,CS,NO,NO,1,17+18,5+10
CRONOX,DON MARIO,Variedad,,2005,CS,NO,NO,2*,7+9,5+10
ONIX,DON MARIO,Variedad,,2005,CS,NO,NO,2*,7+9,5+10
CHAJA,KLEIN,Variedad,,2005,CS,NO,NO,2*,17+18,5+10
ESCORPIÓN,KLEIN,Variedad,,2005,CS,NO,NO,1,7+9,5+10
ESTRELLA,KLEIN,Variedad,,2005,CS,NO,NO,2*,7+8,5+10
PROINTA GAUCHO,INTA,Variedad,,2005,CS,NO,SI,1,7+9,5+10
