Linea,Criadero,Status,Origen,Año,1AL/1RS,1BL/1RS,Glu-A1,Glu-B1,Glu-D1,Vrn-A1,Vrn-B1,Vrn-D1,Ppd-D1,Lr34
BAGUETTE 10,NIDERA,Variedad,REGIONAL II,2008,NO,NO,null,6+8,5+10,s*,w,w,i,-
BAGUETTE 11,NIDERA,Variedad,REGIONAL II,2008,NO,NO,2*,7+8,5+10,s*,w,w,i,-
BIOINTA 1002,INTA,Variedad,REGIONAL II,2008,NO,NO,1,7+9,5+10,w,s,s,s,-
BIOINTA 2002,INTA,Variedad,REGIONAL II,2008,NO,NO,2*,17+18,5+10,w,s,w,i,-
BIOINTA 2004,INTA,Variedad,REGIONAL II,2008,SI,NO,2*,7+8,5+10,w,w,w,s,+
GAVILAN,KLEIN,Variedad,REGIONAL II,2008,NO,SI,2*,7+9,5+10,s,w,s,s,-
JN5016,INTA Marcos Juarez,Linea,REGIONAL II,2008,NO,SI,2*,7+8,2+12,w,s,s,i,-
NOGAL,SURSEM,Variedad,REGIONAL II,2008,NO,NO,2*,7+8,5+10,w,w,w,i,-
B13005,INTA Balcarce,Linea,REGIONAL III,2008,NO,NO,2*,7+9,5+10,s,w,w,i,
B15405,INTA Balcarce,Linea,REGIONAL III,2008,NO,NO,2*,7+8,5+10,s,w,s,i,
B17205,INTA Balcarce,Linea,REGIONAL III,2008,NO,SI,2*,7+9,5+10,w,w,s,i,+
B20306,INTA Balcarce,Linea,REGIONAL III,2008,NO,NO,2*,7+9,5+10,w,w,s,s,-
J06013,INTA Marcos Juarez,Linea,REGIONAL III,2008,NO,NO,2*,7+8,5+10,w,s,w,i,-
J07014,INTA Marcos Juarez,Linea,REGIONAL III,2008,NO,SI,2*,7+9,5+10,w,s,w,i,-
J07015,INTA Marcos Juarez,Linea,REGIONAL III,2008,NO,SI,2*,7+9,5+10,w,s,w,i,-
J08019,INTA Marcos Juarez,Linea,REGIONAL III,2008,NO,NO,1,7+9,5+10,w,s,s,i,-
J08020,INTA Marcos Juarez,Linea,REGIONAL III,2008,NO,SI,nulo,7+9,5+10,s*,w,w,i,-
JN07019,INTA Saenz Peña,Linea,REGIONAL III,2008,NO,SI,2*,7+9,2+12,w,s,w,i,-
JN08021,INTA Saenz Peña,Linea,REGIONAL III,2008,NO,NO,2*,7+9,5+10,w,s,s,i,+
JN08022,INTA Saenz Peña,Linea,REGIONAL III,2008,NO,NO,2*,17+18,5+10,w,s,w,i,-
JN08023,INTA Saenz Peña,Linea,REGIONAL III,2008,NO,NO,2*,17+18,2+12,w,s,s/w,i,-
JN08024,INTA Saenz Peña,Linea,REGIONAL III,2008,NO,NO,1,17+18,5+10,w,s,s,i,-
P04849,INTA Pergamino,Linea,REGIONAL III,2008,NO,NO,2*,7+9,5+10,w,s,s,i,+
P05030,INTA Pergamino,Linea,REGIONAL III,2008,NO,NO,1,7+8,5+10,w,w,s,s,-
P05106,INTA Pergamino,Linea,REGIONAL III,2008,SI?,NO,1,7oe+8,2+12,s,s,s,s,-
P05115,INTA Pergamino,Linea,REGIONAL III,2008,NO,NO,2*,7+9,5+10,w,s,s,i,-
P05134,INTA Pergamino,Linea,REGIONAL III,2008,NO,SI,2*,7+8,5+10,w,w,w,i,-
T00196,INTA Parana,Linea,REGIONAL III,2008,NO,SI,nulo,7+9,5+10,w,w,s,i,-
T00197,INTA Parana,Linea,REGIONAL III,2008,NO,NO,2*,7+9,5+10,w,w,s,i,-
T00198,INTA Parana,Linea,REGIONAL III,2008,NO,NO,1,17+18,5+10,s,w,w,s,+
T00199,INTA Parana,Linea,REGIONAL III,2008,NO,SI,2*,7+9,5+10,w,w,s,s,+
T00200,INTA Parana,Linea,REGIONAL III,2008,NO,SI,1,17+18,5+10,w,w/s,s,s,-
T00201,INTA Parana,Linea,REGIONAL III,2008,NO,SI,1,7+9,5+10,w,w,s,s,-
W06016,INTA Barrow,Linea,REGIONAL III,2008,NO,NO,2*,7+8,5+10,s,w/s,w,s,-
ACA 901,ACA,Variedad,REGIONAL III,2008,NO,NO,2*,7+9,5+10,w,s,s,i,+
BAGUETTE 13,NIDERA,Variedad,REGIONAL III,2008,NO,NO,2*,14+15,5+10,w,w,s/w,i,-
BAGUETTE 9,NIDERA,Variedad,REGIONAL III,2008,NO,NO,2*,14+15,5+10,s*,w,s/w,i,-
BIOINTA 1000,INTA,Variedad,REGIONAL III,2008,NO,NO,1,7oe+8,5+10,w,s,w,i,-
BIOINTA 1001,INTA,Variedad,REGIONAL III,2008,NO,SI,1,7+9,5+10,w,s,s,i,-
BIOINTA 1002,INTA,Variedad,REGIONAL III,2008,NO,NO,1,7+9,5+10,w,w,s,s,-
BIOINTA 1004,INTA,Variedad,REGIONAL III,2008,NO,SI?,2*,7+8,5+10,s,w,w,s,
BIOINTA 1005,INTA,Variedad,REGIONAL III,2008,NO,NO,2*,7+9,5+10,w,s,s,i,-
CRONOX,DON MARIO,Variedad,REGIONAL III,2008,NO,NO,2*,7+9,5+10,w,s,s,s,-
TAURO,KLEIN,Variedad,REGIONAL III,2008,NO,NO,1,7oe+8,5+10,w,s,s,i,+
