Linea,Criadero,Status,Origen,Año,CNN/CS,1AL/1RS,1BL/1RS,Glu-A1,Glu-B1,Glu-D1
W01041,INTA Barrow,Linea,Regional I,2003,CS,NO,SI,2*,7+8,5+10
V00841,INTA Bordenave,Linea,Regional I,2003,CS,NO,NO,1,7+8,5+10
T00100,INTA Parana,Linea,Regional I,2003,CS,NO,SI,2*,7+9,5+10
B11000,INTA Balcarce,Linea,Regional I,2003,CNN,NO,SI,2*,7+9,5+10
P04430,INTA Pergamino,Linea,Regional I,2003,CS,NO,SI,2*,7+9,5+10
W01011,INTA Barrow,Linea,Regional I,2003,CS,NO,NO,2*,7+9,2+12
T00108,INTA Parana,Linea,Regional I,2003,CNN,NO,NO,2*,7+9,5+10
B12298,INTA Balcarce,Linea,Regional I,2003,CS,SI,NO,2*,7+8,5+10
P04548,INTA Pergamino,Linea,Regional I,2003,CS,NO,NO,nulo,7+9,5+10
W01007,INTA Barrow,Linea,Regional I,2003,CS,NO,SI,1,7+9,5+10
J03002,INTA Marcos Juarez,Linea,Regional I,2003,CS,NO,SI,2*,7+9,5+10
T00109,INTA Parana,Linea,Regional I,2003,CS,NO,NO,2*,17+18,5+10
JN02004,INTA Saenz Peña,Linea,Regional I,2003,CS,NO,NO,2*,7+8,5+10
J02006,INTA Marcos Juarez,Linea,Regional II,2003,CS,NO,NO,1,7+9,2+12
JN02010,INTA Saenz Peña,Linea,Regional II,2003,CS,NO,SI,1,7+9,5+10
B14799,INTA Balcarce,Linea,Regional II,2003,CS,NO,SI,2*,7+8,5+10
V00770,INTA Bordenave,Linea,Regional II,2003,CS,NO,SI,1/2*,7+8,5+10
P04528,INTA Pergamino,Linea,Regional II,2003,CS,NO,NO,1,7+8,5+10
V00858,INTA Bordenave,Linea,Regional II,2003,CS,NO,NO,1,7+8,5+10
V00861,INTA Bordenave,Linea,Regional II,2003,CS,NO,SI,nulo,7+9,5+10
J03014,INTA Marcos Juarez,Linea,Regional II,2003,CS,NO,NO,2*,6+8,5+10
J03012,INTA Marcos Juarez,Linea,Regional II,2003,CS,NO,SI,2*,7+9,5+10
J03013,INTA Marcos Juarez,Linea,Regional II,2003,CS,NO,SI,2*,7+9,5+10
W01041,INTA Barrow,Linea,Regional II,2003,CNN,NO,NO,2*,7+8,5+10
B12800,INTA Balcarce,Linea,Regional II,2003,CS,NO,NO,2*,7+9,2+12
JN03010,INTA Saenz Peña,Linea,Regional II,2003,CS,NO,SI,2*,7+9,5+10
JN03009,INTA Saenz Peña,Linea,Regional II,2003,CS,NO,NO,1/2*,7+9?,5+10
B16500,INTA Balcarce,Linea,Regional II,2003,CS,NO,NO,2*,7+8,5+10
V00817,INTA Bordenave,Linea,Regional II,2003,CS,NO,NO,2*,17+18,5+10
P04414,INTA Pergamino,Linea,Regional II,2003,CS,NO,SI,nulo,7+9,5+10
T00113,INTA Parana,Linea,Regional II,2003,CNN,NO,SI,,,
B10901,INTA Balcarce,Linea,Regional II,2003,CS,NO,NO,2*,7+8,5+10
W01042,INTA Barrow,Linea,Regional II,2003,CNN,NO,NO,2*,7+8/?,5+10
V00833,INTA Bordenave,Linea,Regional II,2003,CS,NO,NO,2*,7+8,5+10
P04378,INTA Pergamino,Linea,Regional II,2003,CS,NO,NO,1,7+8,5+10
JN02008,INTA Saenz Peña,Linea,Regional II,2003,CS?,NO,SI,2*,7+8,5+10
T00112,INTA Parana,Linea,Regional II,2003,CS,NO,NO,1,7+9,5+10
P04415,INTA Pergamino,Linea,Regional II,2003,CS,NO,SI,2*,17+18,5+10
JN03011,INTA Saenz Peña,Linea,Regional II,2003,CNN,NO,NO,1,7+9,2+12
T00111,INTA Parana,Linea,Regional II,2003,CS,NO,SI,2*,7+9,5+10
B14001,INTA Balcarce,Linea,Regional II,2003,CS,NO,NO,2*,7+8,5+10
P04437,INTA Pergamino,Linea,Regional II,2003,CS,NO,SI,1,7+9,5+10
J02005,INTA Marcos Juarez,Linea,Regional II,2003,CNN,NO,NO,2*,7+8,2+12
JN03015,INTA Saenz Peña,Linea,Regional III,2003,,NO,NO,2*,13+16,5+10
J02012,INTA Marcos Juarez,Linea,Regional III,2003,CS,NO,NO,2*,6+8,5+10
B16001,INTA Balcarce,Linea,Regional III,2003,CS,NO,NO,2*,7+9,5+10
J03019,INTA Marcos Juarez,Linea,Regional III,2003,CS,NO,NO,1,7+9,5+10
JN03016,INTA Saenz Peña,Linea,Regional III,2003,CS,NO,NO,2*,7+9,5+10
JN02016,INTA Saenz Peña,Linea,Regional III,2003,CS,NO,SI,2*,7+8,5+10
J03018,INTA Marcos Juarez,Linea,Regional III,2003,CS,NO,NO,2*,17+18,5+10
T00115,INTA Parana,Linea,Regional III,2003,CS,NO,SI,1,7+9,5+10
J01006,INTA Marcos Juarez,Linea,Regional III,2003,CS,NO,,2*,7+9,5+10
B15001,INTA Balcarce,Linea,Regional III,2003,CS,NO,SI,2*,7+8,5+10
J02011,INTA Marcos Juarez,Linea,Regional III,2003,CS,NO,NO,2*,7+8,5+10
P04575,INTA Pergamino,Linea,Regional III,2003,CS,NO,SI,2*,7+9,5+10
B13701,INTA Balcarce,Linea,Regional III,2003,CS,NO,SI,1,7+9,5+10
B16401,INTA Balcarce,Linea,Regional III,2003,CS,NO,NO,2*,7+9,5+10
JN03017,INTA Saenz Peña,Linea,Regional III,2003,CS,NO,SI,1,7+9,5+10
P04576,INTA Pergamino,Linea,Regional III,2003,CS,NO,,2*,7+9,5+10
P04476,INTA Pergamino,Linea,Regional III,2003,CS,NO,SI,2*,7+9,2+12
B11201,INTA Balcarce,Linea,Regional III,2003,CS,NO,NO,2*,7+9,5+10
P04295,INTA Pergamino,Linea,Regional III,2003,CS,NO,SI,2*,7+9,5+10
T00114,INTA Parana,Linea,Regional III,2003,CS,NO,,1,7+8,5+10
P04075,INTA Pergamino,Linea,Regional III,2003,,NO,,1,7+9,5+10
JN01005,INTA Saenz Peña,Linea,Regional III,2003,,NO,NO,1,7+9,5+10
T00116,INTA Parana,Linea,Regional III,2003,CS,NO,SI,1,7+8,5+10
P04578,INTA Pergamino,Linea,Regional III,2003,CS,NO,SI,2*,7+9,5+10
