Linea,Criadero,Status,Origen,Año,CNN/CS,1AL/1RS,1BL/1RS,Glu-A1,Glu-B1,Glu-D1,Vrn-A1,Ppd-D1,Lr34
P05115,INTA Pergamino,Linea,CBN,2010,CS,NO,NO,2*,7+9,5+10,w,i,-
P05106,INTA Pergamino,Linea,CBN,2010,CS,NO,NO,2*,17+18,5+10,w,i,+
P04842,INTA Pergamino,Linea,CBN,2010,CS,NO,NO,2*,7+9,5+10,w,i,-
P04805,INTA Pergamino,Linea,CBN,2010,CS,NO,NO,2*,7+8,5+10,w,s,-
JN08022,INTA Saenz Peña,Linea,CBN,2010,CS,NO,NO,2*,17+18,5+10,w,i,-
JN08021,INTA Saenz Peña,Linea,CBN,2010,CS,NO,NO,2*,7oe+9?,5+10,w,i,-
JN08017,INTA Saenz Peña,Linea,CBN,2010,CS,NO,NO,1,17+18,5+10,w,i,-
JN08011,INTA Saenz Peña,Linea,CBN,2010,CNN,NO,SI,2*,7+9?,5+10,w,i,+
JN08005,INTA Saenz Peña,Linea,CBN,2010,CNN,NO,NO,1,7+8,5+10,s,i,-
JN08004,INTA Saenz Peña,Linea,CBN,2010,CNN,NO,NO,1,17+18,5+10,w,s,-
JN06003,INTA Saenz Peña,Linea,CBN,2010,CNN,NO,NO,1,7oe+8,5+10,s,s,-
J08019,INTA Marcos Juarez,Linea,CBN,2010,CNN,NO,NO,1,7+9,5+10,w,i,+
J08018,INTA Marcos Juarez,Linea,CBN,2010,CS,NO,NO,1,7oe+8,5+10,w,i,-
J08002,INTA Marcos Juarez,Linea,CBN,2010,CS,NO,NO,1,7+8,2+12,s,s,-
B16406,INTA Balcarce,Linea,CBN,2010,CS,NO,SI,2*,7oe+9?,5+10,s,s,+
B15706,INTA Balcarce,Linea,CBN,2010,CS,NO,NO,2*,17+18,5+10,w,s,-
B11805,INTA Balcarce,Linea,CBN,2010,CS,NO,SI,nulo,7+9,5+10,w,i,-
