Nombre;Criadero;Status;Origen;Año;CS/CNN;1AL/1RS;1BL/1RS;Glu-A1;Glu-B1;Glu-D1
B08802;INTA Balcarce;Linea;CBS;2006;CS;NO;NO;2*;7+8;5+10
B11602;INTA Balcarce;Linea;CBS;2006;CS;NO;NO;2*;7+8;5+10
B13002;INTA Balcarce;Linea;CBS;2006;CS;NO;SI;2*;7+9;5+10
B08704;INTA Balcarce;Linea;CBS;2006;CNN;NO;NO;1;7+8;5+10
ARAPAHOE;;Variedad;CBS;2006;CS;NO;NO;2*;7+9;5+10
DRONG HORN;;Variedad;CBS;2006;CS;NO;NO;1/2*;7+9;5+10
GOOD STREAK ;;Variedad;CBS;2006;CS;NO;NO;2*;7+9;5+10
MILLENIUM;;Variedad;CBS;2006;CNN;NO;NO;2*;7+9;5+10
V00328;INTA Bordenave;Linea;CBS;2006;CS;NO;NO;2*;17+18;5+10
V00713;INTA Bordenave;Linea;CBS;2006;CS;NO;SI;2*;7+8;5+10
V00723;INTA Bordenave;Linea;CBS;2006;CS;NO;NO;1;7+8;5+10
V00858;INTA Bordenave;Linea;CBS;2006;CS;NO;NO;1;7+8;5+10
V00871;INTA Bordenave;Linea;CBS;2006;CNN;NO;NO;2*;7+8;5+10
V00885;INTA Bordenave;Linea;CBS;2006;CS;NO;NO;1;7+8;5+10
V00889;INTA Bordenave;Linea;CBS;2006;CNN;NO;NO;1;14+15;5+10
V00897;INTA Bordenave;Linea;CBS;2006;CS;NO;NO;2*;17+18;5+10
V00899;INTA Bordenave;Linea;CBS;2006;CS;NO;NO;1;17+18;5+10
V00900;INTA Bordenave;Linea;CBS;2006;CS;NO;NO;1;7+8;5+10
V00902;INTA Bordenave;Linea;CBS;2006;CS;NO;NO;1;6+8;5+10
V00904;INTA Bordenave;Linea;CBS;2006;CS;NO;SI;2*;7+8;5+10
V00906;INTA Bordenave;Linea;CBS;2006;H;NO;NO;1;7+8;5+10
