Nombre,Criadero,Status,Origen,Año,CNN/CS,1AL/1RS,1BL/1RS,Glu-A1,Glu-B1,Glu-D1
ACA 223,ACA,Variedad,CBS,2004,CS,NO,SI,1,7+9,5+10
ACA 302,ACA,Variedad,CBS,2004,CNN ,NO,NO,2*,7+8,5+10
ACA 303,ACA,Variedad,CBS,2004,CNN,NO,NO,2*,7+8,5+10
ACA 304,ACA,Variedad,CBS,2004,CNN,NO,NO,2*,7+8,5+10
ACA 601,ACA,Variedad,CBS,2004,CNN,NO,NO,2*,7+8,5+10
ACA 801,ACA,Variedad,CBS,2004,CS,NO,NO,2*,7+9,5+10
BAGUETTE 10,NIDERA,Variedad,CBS,2004,CS,NO,NO,nulo,6+8,5+10
BAGUETTE 20,NIDERA,Variedad,CBS,2004,CS,NO,NO,2*,7+8,5+10
BAGUETTE 21,NIDERA,Variedad,CBS,2004,CS,NO,NO,2*/nulo,7+9,2+12
BAGUETTE 11,NIDERA,Variedad,CBS,2004,CS,NO,NO,2*,7+8,5+10
BAGUETTE 13,NIDERA,Variedad,CBS,2004,CS,NO,NO,2*,,5+10
BAGUETTE SUR 5,NIDERA,Variedad,CBS,2004,CS,NO,NO,2*/nulo,6+8,2+12
BIOINTA 1000,INTA,Variedad,CBS,2004,CNN,NO,NO,1,7+8,5+10
BIOINTA 2000,INTA,Variedad,CBS,2004,CS,NO,SI,1,17+18,5+10
BIOINTA B. 2001,INTA,Variedad,CBS,2004,CNN,NO,NO,2*,7+8,5+10
BIOINTA 3000,INTA,Variedad,CBS,2004,CS,NO,NO,1,7+8,5+10
BIOINTA B. 3001,INTA,Variedad,CBS,2004,CNN,NO,NO,2*,7+8,5+10
BIOINTA 3002,INTA,Variedad,CBS,2004,CS,NO,NO,1,7+8,5+10
BON. INTA PASUCO,INTA,Variedad,CBS,2004,CNN,NO,NO,2*/nulo,7+8,2+12
AGUARA,BUCK,Variedad,CBS,2004,CNN,NO,NO,2*,17+18,5+10
ARRAYAN,BUCK,Variedad,CBS,2004,CNN,NO,SI,2*,7+8,5+10
ARRIERO,BUCK,Variedad,CBS,2004,CS,NO,NO,1,7+8,5+10
BIGUÁ,BUCK,Variedad,CBS,2004,CS,NO,NO,1,7+8,5+10
BRASIL,BUCK,Variedad,CBS,2004,CS,NO,NO,1,7+8,5+10
FAROL,BUCK,Variedad,CBS,2004,CNN,NO,SI,2*,7+8,2+12
GUAPO,BUCK,Variedad,CBS,2004,CS,NO,SI,1,7+8,5+10
GUATIMOZÍN,BUCK,Variedad,CBS,2004,CNN,NO,NO,2*,7+8,5+10
MATACO,BUCK,Variedad,CBS,2004,CS,NO,NO,1,17+18,5+10
MEJORPAN,BUCK,Variedad,CBS,2004,CNN,NO,NO,2*,7+8,5+10
PANADERO,BUCK,Variedad,CBS,2004,CS,NO,NO,2*,7+8,5+10
PINGO,BUCK,Variedad,CBS,2004,CNN,NO,NO,1,17+18,5+10
PONCHO,BUCK,Variedad,CBS,2004,CNN,NO,NO,2*,7+8,5+10
PRONTO,BUCK,Variedad,CBS,2004,CS,NO,NO,2*,7+8,5+10
SUREÑO,BUCK,Variedad,CBS,2004,CS,NO,SI,2*,7+8,5+10
YATASTO,BUCK,Variedad,CBS,2004,CS,NO,NO,1,7+8,5+10
