Nombre,Criadero,Status,Origen,Año,CNN/CS,1AL/1RS,1BL/1RS,Glu-A1,Glu-B1,Glu-D1
CAUDILLO,BUCK,Variedad,CBS,2004,CS,NO,NO,2*/nulo,7+8,2+12
CAPRICORNIO,KLEIN,Variedad,CBS,2004,CS,NO,NO,2*,7+8,5+10
CHAJA,KLEIN,Variedad,CBS,2004,CS,NO,NO,2*,17+18,5+10
DELFIN,KLEIN,Variedad,CBS,2004,CS,NO,SI,2*,7+8,5+10
DON ENRIQUE,KLEIN,Variedad,CBS,2004,CS,NO,SI,2*,17+18,5+10
ESCORPION,KLEIN,Variedad,CBS,2004,CS,NO,NO,1,7+9,5+10
ESCUDO,KLEIN,Variedad,CBS,2004,CS,NO,SI,2*,7+9,5+10
ESTRELLA,KLEIN,Variedad,CBS,2004,CS,NO,NO,2*,7+8,5+10
FLECHA,KLEIN,Variedad,CBS,2004,CS,NO,NO,2*,7+8,5+10
GAVILAN,KLEIN,Variedad,CBS,2004,CS,NO,SI,2*,7+9,5+10
JABALI,KLEIN,Variedad,CBS,2004,CS,NO,NO,2*,7+8,5+10
MARTILLO,KLEIN,Variedad,CBS,2004,CNN,NO,SI,2*,7+9,5+10
PROTEO,KLEIN,Variedad,CBS,2004,CS,NO,NO,1,7+9,5+10
SAGITARIO,KLEIN,Variedad,CBS,2004,CS,NO,SI,1,7+8,5+10
ONIX,DON MARIO,Variedad,CBS,2004,CS,NO,NO,2*,7+9,5+10
PROINTA COLIBRI,INTA,Variedad,CBS,2004,CS,NO,NO,1,7+8,5+10
PROINTA DON UMBERTO,INTA,Variedad,CBS,2004,CS,NO,SI,2*,7+9,5+10
PROINTA GAUCHO,INTA,Variedad,CBS,2004,CS,NO,SI,1,7+9,5+10
PROINTA GRANAR,INTA,Variedad,CBS,2004,CS,NO,SI,2*,13+16,5+10
PROINTA MOLINERO,INTA,Variedad,CBS,2004,CS,NO,NO,1,7+8,5+10
PROINTA PINCEN,INTA,Variedad,CBS,2004,CS,NO,SI,2*,7+8,5+10
PROINTA PUNTAL,INTA,Variedad,CBS,2004,CS,SI,NO,2*,7+8,5+10
GRENIA,,Variedad,CBS,2004,CS,NO,NO,2*,7+9,5+10
INIA CHURRINCHE,INIA,Variedad,CBS,2004,CS,NO,NO,2*,7+8,5+10
INIA PLUS 14,INIA,Variedad,CBS,2004,CS,NO,SI,2*,7+9,5+10
ZORZAL,,Variedad,CBS,2004,CS,NO,NO,2*,7+9,5+10
W99003,INTA Barrow,Linea,CBS,2004,CNN,NO,NO,2*,7+8,5+10
W99010,INTA Barrow,Linea,CBS,2004,CNN,NO,NO,2*,17+18,5+10
W90015,INTA Barrow,Linea,CBS,2004,CNN,NO,NO,2*,17+18,5+10
W99020,INTA Barrow,Linea,CBS,2004,CS,NO,NO,2*,7+8,5+10
W01006,INTA Barrow,Linea,CBS,2004,CS,NO,NO,2*,7+8,5+10
W01038,INTA Barrow,Linea,CBS,2004,CNN,NO,NO,2*,7+8,5+10
W01039,INTA Barrow,Linea,CBS,2004,CNN,NO,NO,2*,7+8,5+10
W01040,INTA Barrow,Linea,CBS,2004,CNN,NO,NO,2*,7+8,5+10
W01041,INTA Barrow,Linea,CBS,2004,CNN,NO,NO,2*,7+8,5+10
W01042,INTA Barrow,Linea,CBS,2004,CNN,NO,NO,2*,7+8,5+10
W01044,INTA Barrow,Linea,CBS,2004,CNN,NO,NO,2*,7+8,5+10
W01046,INTA Barrow,Linea,CBS,2004,CNN,NO,NO,2*,7+8/17+18,5+10
W01049,INTA Barrow,Linea,CBS,2004,CNN,NO,NO,2*,7+8,5+10
W03001,INTA Barrow,Linea,CBS,2004,CS,NO,NO,1,17+18,5+10
W03002,INTA Barrow,Linea,CBS,2004,CS,NO,NO,1,17+18,5+10
W03003,INTA Barrow,Linea,CBS,2004,CS,NO,NO,1,7+8,5+10
W03004,INTA Barrow,Linea,CBS,2004,CS,NO,NO,1,7+8,5+10
W03005,INTA Barrow,Linea,CBS,2004,CS,NO,NO,1,7+8,5+10
W03006,INTA Barrow,Linea,CBS,2004,CS,NO,NO,1,7+8,5+10
W03007,INTA Barrow,Linea,CBS,2004,CNN,NO,NO,1,17+18,5+10
W03008,INTA Barrow,Linea,CBS,2004,CNN,NO,NO,2*,17+18,5+10
W03009,INTA Barrow,Linea,CBS,2004,CNN,NO,NO,1,17+18,5+10
W03010,INTA Barrow,Linea,CBS,2004,CNN,NO,NO,2*,17+18,5+10
W03011,INTA Barrow,Linea,CBS,2004,CS,NO,NO,2*,17+18,5+10
W03012,INTA Barrow,Linea,CBS,2004,CS,NO,NO,2*,17+18,5+10
W03013,INTA Barrow,Linea,CBS,2004,CS,NO,NO,2*,17+18,5+10
W03014,INTA Barrow,Linea,CBS,2004,CNN,NO,NO,2*,7+8,5+10
W03015,INTA Barrow,Linea,CBS,2004,CNN,NO,NO,2*,7+8,5+10
W03016,INTA Barrow,Linea,CBS,2004,CS,NO,NO,2*,7+9,5+10
W03017,INTA Barrow,Linea,CBS,2004,CNN,NO,NO,1,7+8,5+10
W03018,INTA Barrow,Linea,CBS,2004,CNN,NO,NO,1,7+8,5+10
W03019,INTA Barrow,Linea,CBS,2004,CNN,NO,NO,2*,7+9,5+10
W03020,INTA Barrow,Linea,CBS,2004,CS,NO,NO,2*,7+9,5+10
W03021,INTA Barrow,Linea,CBS,2004,CS,NO,NO,1,7+8,5+10
INIA GORRION,INIA,Variedad,CBS,2004,CS,NO,NO,2*,7+9,5+10
INIA TIJERETA,INIA,Variedad,CBS,2004,CS,NO,NO,2*,17+18,5+10
INIA TORCAZA,INIA,Variedad,CBS,2004,CS,NO,NO,2*,17+18,5+10
GEORGIA-8,,Linea,CBS,2004,CS,NO,SI,2*/nulo,7+8,2+12
GEORGIA-24,,Linea,CBS,2004,CS,NO,NO,1,7+8/7+9,2+12
ALBENA,,Variedad,CBS,2004,CS,NO,NO,2*,7+9,5+10
P2571,INTA Pergamino,Linea,CBS,2004,CS,NO,NO,2*,7+8,5+10
921188F43,,Linea,CBS,2004,CS,NO,SI,2*/nulo,7+9,2+12
ZERNOKOMOVAYA 50,,Variedad,CBS,2004,CS,SI,NO,2*,7+9,5+10
B11000,INTA Balcarce,Linea,CBS,2004,CNN,NO,SI,2*,7+9,5+10
B11001,INTA Balcarce,Linea,CBS,2004,CS,NO,SI,2*,7+9,5+10
B07902,INTA Balcarce,Linea,CBS,2004,CNN,NO,SI,2*,7+9,5+10
B12702,INTA Balcarce,Linea,CBS,2004,CS,NO,NO,nulo,7+9,2+12
B12800,INTA Balcarce,Linea,CBS,2004,CS,NO,SI,2*,17+18,5+10
B16500,INTA Balcarce,Linea,CBS,2004,CNN,NO,NO,2*,7+8,5+10
B10601,INTA Balcarce,Linea,CBS,2004,CS,NO,SI,1,17+18,5+10
B10901,INTA Balcarce,Linea,CBS,2004,CS,NO,NO,2*,7+8,5+10
B09102,INTA Balcarce,Linea,CBS,2004,CS,NO,NO,1,7+8,5+10
B11201,INTA Balcarce,Linea,CBS,2004,CS,NO,NO,2*,7+9,5+10
B08402,INTA Balcarce,Linea,CBS,2004,CS,NO,SI,1,7+9,5+10
B08802,INTA Balcarce,Linea,CBS,2004,CS,NO,NO,2*,7+8,5+10
B11802,INTA Balcarce,Linea,CBS,2004,CNN,NO,NO,2*,13+16,5+10
B13002,INTA Balcarce,Linea,CBS,2004,CS,NO,SI,2*,7+9,5+10
B23299,INTA Balcarce,Linea,CBS,2004,CS,NO,NO,1,7+8,5+10
B16099,INTA Balcarce,Linea,CBS,2004,CS,NO,SI,2*,7+9,5+10
B20499,INTA Balcarce,Linea,CBS,2004,CS,NO,NO,2*,7+8,5+10
B22499,INTA Balcarce,Linea,CBS,2004,CS,NO,NO,1,7+8,5+10
B23199,INTA Balcarce,Linea,CBS,2004,CS,NO,NO,1,7+8,5+10
B11301,INTA Balcarce,Linea,CBS,2004,CS,NO,SI,2*,17+18,2+12
B15501,INTA Balcarce,Linea,CBS,2004,CS,NO,SI,1,7+8,5+10
B05702,INTA Balcarce,Linea,CBS,2004,CS,NO,SI,1,17+18,5+10
B05802,INTA Balcarce,Linea,CBS,2004,CS,NO,SI,1,17+18,5+10
B06102,INTA Balcarce,Linea,CBS,2004,CS,NO,NO,2*,7+9,5+10
B06302,INTA Balcarce,Linea,CBS,2004,CS,NO,SI,1,7+9,5+10
B06402,INTA Balcarce,Linea,CBS,2004,CS,NO,SI,2*,7+8,5+10
B06502,INTA Balcarce,Linea,CBS,2004,CS,NO,SI,2*,7+8,5+10
B06602,INTA Balcarce,Linea,CBS,2004,CS,NO,SI,2*,7+8,5+10
B07302,INTA Balcarce,Linea,CBS,2004,CNN,NO,NO,2*,,5+10
B08102,INTA Balcarce,Linea,CBS,2004,CNN,NO,SI,2*,7+9,5+10
B08302,INTA Balcarce,Linea,CBS,2004,CS,NO,SI,1,7+9,5+10
B08702,INTA Balcarce,Linea,CBS,2004,CS,NO,NO,2*,7+8,5+10
B09002,INTA Balcarce,Linea,CBS,2004,CS,NO,SI,2*,7+9,5+10
B09302,INTA Balcarce,Linea,CBS,2004,CNN,NO,NO,2*,7+8,5+10
B10102,INTA Balcarce,Linea,CBS,2004,CS,NO,NO,2*,17+18,5+10
B11602,INTA Balcarce,Linea,CBS,2004,CS,NO,NO,2*,7+8,5+10
B12802,INTA Balcarce,Linea,CBS,2004,CS,NO,SI,2*,7+9,5+10
B13102,INTA Balcarce,Linea,CBS,2004,CS,NO,SI,2*,7+8,5+10
B13202,INTA Balcarce,Linea,CBS,2004,CS,NO,NO,2*,7+8,5+10
B13302,INTA Balcarce,Linea,CBS,2004,CS,NO,NO,2*,7+8,5+10
B13402,INTA Balcarce,Linea,CBS,2004,CS,NO,NO,2*,7+8,5+10
B13502,INTA Balcarce,Linea,CBS,2004,CS,NO,NO,1,17+18,5+10
B13702,INTA Balcarce,Linea,CBS,2004,CS,NO,NO,1,7+8,5+10
ARAPAHOE                  ,,Variedad,CBS,2004,CNN,NO,NO,2*,7+9,5+10
AMAZONAS                    ,,Variedad,CBS,2004,CS,NO,SI,1,7+9,5+10
PLISKA,,Variedad,CBS,2004,CS,NO,NO,nulo,7+9,5+10
V00620,INTA Bordenave,Linea,CBS,2004,CS,NO,NO,1,7+8,5+10
V00696,INTA Bordenave,Linea,CBS,2004,CS,NO,SI,2*/nulo,7+8,2+12
V00697,INTA Bordenave,Linea,CBS,2004,CS,NO,NO,1,7+9,5+10
V00703,INTA Bordenave,Linea,CBS,2004,CS,NO,SI,2*,7+8,2+12
V00713,INTA Bordenave,Linea,CBS,2004,CS,NO,SI,2*,7+8,5+10
V00723,INTA Bordenave,Linea,CBS,2004,CS,NO,NO,1,7+8,5+10
V00770,INTA Bordenave,Linea,CBS,2004,CS,NO,SI,2*,7+8,5+10
V00817,INTA Bordenave,Linea,CBS,2004,CS,NO,NO,nulo,17+18,5+10
V00830,INTA Bordenave,Linea,CBS,2004,CS,NO,SI,1,7+9,5+10
V00832,INTA Bordenave,Linea,CBS,2004,CS,NO,NO,1,7+8,5+10
V00833,INTA Bordenave,Linea,CBS,2004,CS,NO,NO,1,7+8,5+10
V00840,INTA Bordenave,Linea,CBS,2004,CS,NO,NO,1,7+8,5+10
V00845,INTA Bordenave,Linea,CBS,2004,CS,NO,NO,1,7+8,2+12
V00851,INTA Bordenave,Linea,CBS,2004,CS,NO,SI,1,7+9,5+10
V00853,INTA Bordenave,Linea,CBS,2004,CNN,NO,NO,2*,7+8,5+10
V00858,INTA Bordenave,Linea,CBS,2004,CS,NO,NO,1,7+8,5+10
V00860,INTA Bordenave,Linea,CBS,2004,CS,NO,SI,nulo,7+9,5+10
V00865,INTA Bordenave,Linea,CBS,2004,CS,NO,SI,1,7+9,5+10
V00867,INTA Bordenave,Linea,CBS,2004,CS,NO,NO,nulo,7+8,5+10
V00870,INTA Bordenave,Linea,CBS,2004,CS,NO,SI,1,7+9,5+10
V00871,INTA Bordenave,Linea,CBS,2004,CNN,NO,NO,2*,7+8,5+10
