Linea,Criadero,Status,Origen,Año,CNN/CS,1AL/1RS,1BL/1RS,Glu-A1,Glu-B1,Glu-D1
ACA 901,ACA,Variedad,CBN,2006,CS,NO,NO,2*,7+9,5+10
ACA 303,ACA,Variedad,CBN,2006,CNN,NO,NO,2*,7+ 8,5+10
ACA 315,ACA,Variedad,CBN,2006,CS,NO,NO,2*,7+8,5+10
Baguette 13,NIDERA,Variedad,CBN,2006,CS,NO,NO,2*,14+15,5+10
Baguette 11,NIDERA,Variedad,CBN,2006,CS,NO,NO,2*,7+ 8,5+10
Baguette19,NIDERA,Variedad,CBN,2006,CS,NO,NO,nulo,14+15,5+10
Baguette 20,NIDERA,Variedad,CBN,2006,CS,NO,NO,nulo,7+8,5+10
Baguette 21,NIDERA,Variedad,CBN,2006,CS,NO,NO,2*/nulo,7+9,2+12
Biointa 1000,INTA,Variedad,CBN,2006,CNN,NO,NO,1,7+ 8,5+10
Biointa 1001,INTA,Variedad,CBN,2006,CS,NO,SI,1,7+ 9,5+10
Biointa 1002,INTA,Variedad,CBN,2006,CS,NO,NO,1,7+ 9,5+10
Biointa 1003,INTA,Variedad,CBN,2006,CS,NO,NO,2*,7+ 9,5+10
Biointa 1004,INTA,Variedad,CBN,2006,CS,NO,NO,2*,7+8,5+10
Biointa 2001,INTA,Variedad,CBN,2006,CNN,NO,NO,2*,7+ 8,5+10
Biointa 2002,INTA,Variedad,CBN,2006,CS,NO,NO,2*,17+18,5+10
Biointa 2003,INTA,Variedad,CBN,2006,CNN,NO,NO,2*/nulo,7+8,2+12
Biointa 3000,INTA,Variedad,CBN,2006,CS,NO,NO,1,7+ 8,5+10
Biointa 3003,INTA,Variedad,CBN,2006,CS,SI,NO,2*,7+ 9,5+10
Biointa 3004,INTA,Variedad,CBN,2006,CS,NO,SI,2*,7+9,5+10
75 aniversario,BUCK,Variedad,CBN,2006,CS,NO,NO,1,7+8,5+10
Aguará,BUCK,Variedad,CBN,2006,CNN,NO,NO,2*,17+18,5+10
Biguá,BUCK,Variedad,CBN,2006,CS,NO,NO,1/2*,7+ 8,5+10
Brasil,BUCK,Variedad,CBN,2006,CS,NO,NO,1,7+ 8,5+10
Chacarrero,BUCK,Variedad,CBN,2006,CNN,NO,NO,2*,17+18,5+10
Malevo,BUCK,Variedad,CBN,2006,CS,NO,SI,2*,7+8,5+10
Norteño,BUCK,Variedad,CBN,2006,CNN?,NO,SI,2*,7+8,5+10
Ranquel,BUCK,Variedad,CBN,2006,CNN?,NO,NO,2*,7+9,5+10
Buck 240846-1,BUCK,Linea,CBN,2006,CS,NO,NO,1,7+ 8,5+10
Nogal,SURSEM,Variedad,CBN,2006,CNN?,NO,NO,2*,7+8,5+10
Inia Condor,INIA,Variedad,CBN,2006,CNN,NO,NO,2*,7+ 8,5+10
Inia Torcasa,INIA,Variedad,CBN,2006,CS,NO,NO,2*,17+18,5+10
Tauro,KLEIN,Variedad,CBN,2006,CS,NO,NO,1,7+ 8,5+10
Castor,KLEIN,Variedad,CBN,2006,CS,NO,SI,1,17+18,5+10
Chajá,KLEIN,Variedad,CBN,2006,CNN,NO,NO,2*,17+18,5+10
Gavilán,KLEIN,Variedad,CBN,2006,CS,NO,SI,2*,7+ 9,5+10
Proteo,KLEIN,Variedad,CBN,2006,CS,NO,NO,1,7+ 9,5+10
Capricornio,KLEIN,Variedad,CBN,2006,CS,NO,NO,2*,7+ 8,5+10
Zorro,KLEIN,Variedad,CBN,2006,CS,NO,SI,2*,7+9,5+10
Onix,DON MARIO,Variedad,CBN,2006,CS,NO,NO,2*,7+ 9,5+10
Cronox,DON MARIO,Variedad,CBN,2006,CS,NO,NO,nulo,7+ 9,2+12
B08402,INTA Balcarce,Linea,CBN,2006,CS,NO,SI,1,7+9,5+10
B11001,INTA Balcarce,Linea,CBN,2006,CS,NO,SI,2*,7+9,5+10
B12702,INTA Balcarce,Linea,CBN,2006,CS,NO,SI,2*,17+18,5+10
B13002,INTA Balcarce,Linea,CBN,2006,CS,NO,SI,2*,7+9,5+10
B07302,INTA Balcarce,Linea,CBN,2006,CS,NO,NO,2*,7+8,5+10
B08102,INTA Balcarce,Linea,CBN,2006,CNN,NO,SI,2*,7+9,5+10
