Linea,Criadero,Status,Origen,Año,CNN/CS,1AL/1RS,1BL/1RS,Glu-A1,Glu-B1,Glu-D1
B08302,INTA Balcarce,Linea,CBN,2006,CS,NO,SI,1,7+9,5+10
B13502,INTA Balcarce,Linea,CBN,2006,CS,NO,NO,1,17+18,5+10
J04010,INTA Marcos Juarez,Linea,CBN,2006,CS,NO,NO,1,7+9,5+10
J05001,INTA Marcos Juarez,Linea,CBN,2006,CS,NO,NO,2*,7+8,5+10
J05002,INTA Marcos Juarez,Linea,CBN,2006,CS,NO,NO,2*,7+8,5+12??
J05003,INTA Marcos Juarez,Linea,CBN,2006,CS,NO,NO,2*/nul,7+9,2+12
J04011,INTA Marcos Juarez,Linea,CBN,2006,CS,NO,SI,1,7+8,5+10
J05018,INTA Marcos Juarez,Linea,CBN,2006,CS,NO,NO,1,7+9,5+10
J05019,INTA Marcos Juarez,Linea,CBN,2006,CS,NO,SI,2*,7+9,5+10
JN03016,INTA Saenz Peña,Linea,CBN,2006,CS,NO,NO,2*,7+9,5+10
JN04014,INTA Saenz Peña,Linea,CBN,2006,CS,NO,NO,2*,7+9,5+10
JN04016,INTA Saenz Peña,Linea,CBN,2006,CS,NO,NO,1,17+18,5+10
JN05004,INTA Saenz Peña,Linea,CBN,2006,CS,NO,NO,1,7+9,5+10
JN05006,INTA Saenz Peña,Linea,CBN,2006,CS,NO,NO,1,7+9,2+12
JN05007,INTA Saenz Peña,Linea,CBN,2006,CS,NO,NO,2*/nul,7+8,2+12
JN05016,INTA Saenz Peña,Linea,CBN,2006,CS,NO,SI,2*/nul,7+9,2+12
JN05020,INTA Saenz Peña,Linea,CBN,2006,CS,NO,NO,2*,7+9,5+10
P04430,INTA Pergamino,Linea,CBN,2006,CS,NO,SI,2*,7+9,5+10
P04695,INTA Pergamino,Linea,CBN,2006,CS,NO,NO,1,7+8,5+10
P04544,INTA Pergamino,Linea,CBN,2006,CS,NO,SI,1,7+9,5+10
P04736,INTA Pergamino,Linea,CBN,2006,CS,NO,NO,2*,7+8,2+12?
P04788,INTA Pergamino,Linea,CBN,2006,CS,NO,NO,1,7+9,5+10
P04805,INTA Pergamino,Linea,CBN,2006,CS,NO,NO,2*,7+8,5+10
P04836,INTA Pergamino,Linea,CBN,2006,CS,NO,NO,1,7+9,5+10
P04854,INTA Pergamino,Linea,CBN,2006,CS,NO,SI,1,7+9,5+10
R04001,INTA Marcos Juarez,Linea,CBN,2006,CS,SI,NO,2*,7+8,5+10
R04002,INTA Marcos Juarez,Linea,CBN,2006,CS,SI,NO,2*,7+8,5+10
R04008,INTA Marcos Juarez,Linea,CBN,2006,CS,SI,NO,2*,7+8,5+10
R04010,INTA Marcos Juarez,Linea,CBN,2006,CS,SI,NO,2*,7+8,5+10
T00114,INTA Parana,Linea,CBN,2006,CS,NO,NO,1,7+8,5+10
V00871,INTA Bordenave,Linea,CBN,2006,CNN,NO,NO,2*,7+8,5+10
W99020,INTA Barrow,Linea,CBN,2006,CS,NO,NO,2*,7+8,5+10
W03003,INTA Barrow,Linea,CBN,2006,CS,NO,NO,1,7+8,5+10
W03020,INTA Barrow,Linea,CBN,2006,CS,NO,NO,2*,7+9,5+10
