Linea,Criadero,Status,Origen,Año,1AL/1RS,1BL/1RS,Glu-A1,Glu-B1,Glu-D1,Vrn-A1,Vrn-B1,Vrn-D1,Ppd-D1,Lr34
MENDEL    ,,Variedad,CBN,2009,NO,NO,nulo,7+9,2+12,w,w,w,s,-
NIRVANA   ,,Variedad,CBN,2009,NO,NO,1,7+8,2+12,w,w,w,s,-
ORMIL,,Variedad,CBN,2009,NO,NO,nulo,7+9,5+10,w,w,w,i,-
ORVANTIS  ,,Variedad,CBN,2009,NO,NO,1,6+8,2+12,w,w,w,i,-
SOISSONS,,Variedad,CBN,2009,NO,NO,2*,7+8,5+10,w,w,w,i,-
SPONSOR,,Variedad,CBN,2009,NO,NO,1,6+8,2+12,w,w,w,s,-
TREMIE,,Variedad,CBN,2009,NO,NO,nulo,6+8,2+12,w,w,w,s,-
B17205,INTA Balcarce,Linea,CBN,2009,NO,NO,2*,13+16,2+12,w,w,s,i,+
J07003,INTA Marcos Juarez,Linea,CBN,2009,NO,NO,nulo,7+8,5+10,s,s,w,s,+
J07015,INTA Marcos Juarez,Linea,CBN,2009,NO,SI,2*,7+9,5+10,w,s,w,i,-
J08002,INTA Marcos Juarez,Linea,CBN,2009,NO,NO,1,7+8,2+12,s,w,w,s,-
J08010,INTA Marcos Juarez,Linea,CBN,2009,NO,SI,1/2*,7+9,5+10,s,w,w,i,+
J08019,INTA Marcos Juarez,Linea,CBN,2009,NO,NO,1,7+9,5+10,w,s,s,i,-
JN08004,INTA Saenz Peña,Linea,CBN,2009,NO,NO,1,7+8,5+10,w,s,s,s,+
JN08011,INTA Saenz Peña,Linea,CBN,2009,NO,SI,2*,7+9,5+10,w,s,w,i,-
JN08012,INTA Saenz Peña,Linea,CBN,2009,NO,NO,1,7+8,2+12,s,s,w,s,-
JN08024,INTA Saenz Peña,Linea,CBN,2009,NO,NO,1,17+18,5+10,w,s,s,i,-
P04862,INTA Pergamino,Linea,CBN,2009,NO,SI,2*,7+9,5+10,w,s,w,i,-
P05115,INTA Pergamino,Linea,CBN,2009,NO,NO,2*,7+9,5+10,w,s,s,i,-
P05153,INTA Pergamino,Linea,CBN,2009,NO,NO,2*,7+8,5+10,w,s,w,s,-
P05156,INTA Pergamino,Linea,CBN,2009,NO,NO,2*,7+8,5+10,w,s,w,s,-
T00185,INTA Parana,Linea,CBN,2009,NO,NO,1,7+8,5+10,s*,w,w,s,-
T00186,INTA Parana,Linea,CBN,2009,NO,NO,nulo,6+8,5+10,s,s,w,s,-
T00187,INTA Parana,Linea,CBN,2009,NO,NO,1,7+8,5+10,w,s,w,s,-
T00193,INTA Parana,Linea,CBN,2009,NO,NO,1,7+8,2+12,w,s,s,s,-
T00194,INTA Parana,Linea,CBN,2009,NO,NO,1,6+8,5+10,s*,w,w,i,-
T00195,INTA Parana,Linea,CBN,2009,NO,NO,1,7+9,5+10,w,s,w,i,-
V00925,INTA Bordenave,Linea,CBN,2009,NO,NO,1,17+18,,w,w,w,i,+
W05009,INTA Barrow,Linea,CBN,2009,NO,NO,2*,7+8,5+10,w,s,s,s,-
W06011,INTA Barrow,Linea,CBN,2009,NO,NO,2*,7+8,2+12,s,s,s,s,-
