Nombre,Criadero,Origen,Año,CNN/CS,1AL/1RS,1BL/1RS,Glu-A1,Glu-B1,Glu-D1
B 11802,INTA Balcarce,CBS,2004,CNN,NO,NO,2*,13+16,5+10
B 13002,INTA Balcarce,CBS,2004,CS,NO,SI,2*,7+9,5+10
B 23299,INTA Balcarce,CBS,2004,CS,NO,NO,1,7+8,5+10
B 16099,INTA Balcarce,CBS,2004,CS,NO,SI,2*,7+9,5+10
B 20499,INTA Balcarce,CBS,2004,CS,NO,NO,2*,7+8,5+10
B 22499,INTA Balcarce,CBS,2004,CS,NO,NO,1,7+8,5+10
B 23199,INTA Balcarce,CBS,2004,CS,NO,NO,1,7+8,5+10
B 11301,INTA Balcarce,CBS,2004,CS,NO,SI,2*,17+18,2+12
B 15501,INTA Balcarce,CBS,2004,CS,NO,SI,1,7+8,5+10
B 05702,INTA Balcarce,CBS,2004,CS,NO,SI,1,17+18,5+10
B 05802,INTA Balcarce,CBS,2004,CS,NO,SI,1,17+18,5+10
B 06102,INTA Balcarce,CBS,2004,CS,NO,NO,2*,7+9,5+10
B 06302,INTA Balcarce,CBS,2004,CS,NO,SI,1,7+9,5+10
B 06402,INTA Balcarce,CBS,2004,CS,NO,SI,2*,7+8,5+10
B 06502,INTA Balcarce,CBS,2004,CS,NO,SI,2*,7+8,5+10
B 06602,INTA Balcarce,CBS,2004,CS,NO,SI,2*,7+8,5+10
B 07302,INTA Balcarce,CBS,2004,CNN,NO,NO,2*,,5+10
B 08102,INTA Balcarce,CBS,2004,CNN,NO,SI,2*,7+9,5+10
B 08302,INTA Balcarce,CBS,2004,CS,NO,SI,1,7+9,5+10
B 08702,INTA Balcarce,CBS,2004,CS,NO,NO,2*,7+8,5+10
B 09002,INTA Balcarce,CBS,2004,CS,NO,SI,2*,7+9,5+10
B 09302,INTA Balcarce,CBS,2004,CNN,NO,NO,2*,7+8,5+10
B 10102,INTA Balcarce,CBS,2004,CS,NO,NO,2*,17+18,5+10
B 11602,INTA Balcarce,CBS,2004,CS,NO,NO,2*,7+8,5+10
B 12802,INTA Balcarce,CBS,2004,CS,NO,SI,2*,7+9,5+10
B 13102                                                     ,INTA Balcarce,CBS,2004,CS,NO,SI,2*,7+8,5+10
B 13202                                                     ,INTA Balcarce,CBS,2004,CS,NO,NO,2*,7+8,5+10
B 13302                                                     ,INTA Balcarce,CBS,2004,CS,NO,NO,2*,7+8,5+10
B 13402                                                     ,INTA Balcarce,CBS,2004,CS,NO,NO,2*,7+8,5+10
B 13502                                                     ,INTA Balcarce,CBS,2004,CS,NO,NO,1,17+18,5+10
B 13702                                                     ,INTA Balcarce,CBS,2004,CS,NO,NO,1,7+8,5+10
ARAPAHOE                  ,,CBS,2004,CNN,NO,NO,2*,7+9,5+10
AMAZONAS                    ,,CBS,2004,CS,NO,SI,1,7+9,5+10
PLISKA,,CBS,2004,CS,NO,NO,nulo,7+9,5+10
V 00620                                                     ,INTA Bordenave,CBS,2004,CS,NO,NO,1,7+8,5+10
