Nombre;Criadero;Origen;Año;CNN/CS;1AL/1RS;1BL/1RS;Glu-A1;Glu-B1;Glu-D1
W 03020;INTA Barrow;CBS;2005;CS;NO;NO;2*;7+9;5+10
W 03021;INTA Barrow;CBS;2005;CS;NO;NO;1;7+8;5+10
V 00723;INTA Bordenave;CBS;2005;CS;NO;NO;1;7+8;5+10
B 15100;INTA Balcarce;CBS;2005;CNN;NO;NO;2*;7+9;5+10
B 16401;INTA Balcarce;CBS;2005;CS;NO;NO;2*;7+9;5+10
INIA GORRION;INIA;CBS;2005;CS;NO;NO;2*;7+9;5+10
INIA TIJERETA;INIA;CBS;2005;CS;NO;NO;2*;17+18;5+10
INIA TORCAZA;INIA;CBS;2005;CS;NO;NO;2*;17+18;5+10
KINACI;;CBS;2005;CS;NO;NO;2*;7+9;5+10
B 16099;INTA Balcarce;CBS;2005;CS;NO;SI;2*;7+9;5+10
B 20499;INTA Balcarce;CBS;2005;CS;NO;NO;2*;7+8;5+10
B 22499;INTA Balcarce;CBS;2005;CS;NO;NO;1;7+8;5+10
B 23199;INTA Balcarce;CBS;2005;CS;NO;NO;1;7+8;5+10
B 23299;INTA Balcarce;CBS;2005;CS;NO;NO;1;7+8;5+10
B 11000;INTA Balcarce;CBS;2005;CNN;NO;SI;2*;7+9;5+10
B 12800;INTA Balcarce;CBS;2005;CS;NO;NO;2*;7+9;5+10
B 10901;INTA Balcarce;CBS;2005;CS;NO;NO;2*;7+8;5+10
B 11001;INTA Balcarce;CBS;2005;CS;NO;SI;2*;7+9;5+10
B 11301;INTA Balcarce;CBS;2005;CS;NO;SI;1/2*;7+8/17+18;5+10
B 07302;INTA Balcarce;CBS;2005;CNN;NO;NO;2*;7+8;5+10
B 08302;INTA Balcarce;CBS;2005;CNN;NO;SI;2*;7+9;5+10
B 08802;INTA Balcarce;CBS;2005;CS;NO;SI;1;7+9;5+10
B 12702;INTA Balcarce;CBS;2005;CS;NO;SI;2*;17+18;5+10
B 13002;INTA Balcarce;CBS;2005;CS;NO;SI;2*;7+9;5+10
B 13202;INTA Balcarce;CBS;2005;CS;NO;NO;2*;7+8;5+10
DRONG HORN;;CBS;2005;CS;NO;NO;1/2*;7+9;5+10
GOOD STREAK;;CBS;2005;CS;NO;NO;2*;7+9;5+10
MILLENIUM;;CBS;2005;CNN;NO;NO;2*/nulo;7+9;2+12
PINCEN PELON;;CBS;2005;CS;NO;NO;2*;7+8/17+18;5+10
PROINTA COLIBRI;INTA;CBS;2005;CS;NO;NO;1;7+8;5+10
V 00328;INTA Bordenave;CBS;2005;CS;NO;NO;2*;17+18;5+10
V 00703;INTA Bordenave;CBS;2005;CS;NO;SI;2*/nulo;7+8;2+12
V 00713;INTA Bordenave;CBS;2005;CS;NO;SI;2*;7+8;5+10
V 00770;INTA Bordenave;CBS;2005;CS;NO;SI;2*;7+8;5+10
V 00817;INTA Bordenave;CBS;2005;CS;NO;NO;2*;17+18;5+10
V 00830;INTA Bordenave;CBS;2005;CS;NO;SI;1;7+9;5+10
V 00832;INTA Bordenave;CBS;2005;CS;NO;NO;1;7+8;5+10
V 00833;INTA Bordenave;CBS;2005;CS;NO;NO;1;7+8;5+10
V 00836;INTA Bordenave;CBS;2005;CS;NO;NO;1;7+8;2+12
V 00845;INTA Bordenave;CBS;2005;CS;NO;NO;1;13+16;2+12
V 00846;INTA Bordenave;CBS;2005;CS;NO;SI;1;7+9;2+12
V 00847;INTA Bordenave;CBS;2005;CS;NO;NO;1;7+9;2+12
V 00858;INTA Bordenave;CBS;2005;CS;NO;NO;1;7+8;5+10
V 00860;INTA Bordenave;CBS;2005;CS;NO;SI;nulo;7+9;5+10
V 00867;INTA Bordenave;CBS;2005;CS;NO;NO;nulo;7+8;5+10
V 00870;INTA Bordenave;CBS;2005;CS;NO;SI;1;7+9;2+12
V 00871;INTA Bordenave;CBS;2005;CNN;NO;NO;2*;7+8;5+10
V 00876;INTA Bordenave;CBS;2005;CS;NO;NO;1;14+15;5+10
