Linea,Criadero,Origen,Año,CNN/CS,1AL/1RS,1BL/1RS,Glu-A1,Glu-B1,Glu-D1
R04006,INTA Marcos Juarez,CBN,2005,CS,SI,NO,2*,7+ 8,5+10
R04008,INTA Marcos Juarez,CBN,2005,CS,SI,NO,2*,7+ 8,5+10
R04010,INTA Marcos Juarez,CBN,2005,CS,SI,NO,2*,7+ 8,5+10
T00114,INTA Parana,CBN,2005,CS,NO,NO,1,7+ 8,5+10
T00115,INTA Parana,CBN,2005,CS,NO,SI,1,7+ 9,5+10
T00124,INTA Parana,CBN,2005,CS,NO,SI,1/2*,7+9,5+10
V00833,INTA Bordenave,CBN,2005,CS,NO,NO,1/2*,7+ 8,5+10
V00860,INTA Bordenave,CBN,2005,CS,NO,SI,2*/nulo,7+9,5+10
V00770,INTA Bordenave,CBN,2005,CS,NO,SI,2*,7+ 8,5+10
V00858,INTA Bordenave,CBN,2005,CS,NO,NO,1/2*,7+ 8,5+10
V00871,INTA Bordenave,CBN,2005,CNN,NO,NO,2*,7+ 8,5+10
W99020,INTA Barrow,CBN,2005,CS,NO,NO,2*,7+ 8,5+10
W01041,INTA Barrow,CBN,2005,CNN,NO,NO,2*,7+ 8,5+10
Arche,,CBN,2005,CS,NO,NO,nulo,6+8,2+12
Soissons,,CBN,2005,CS,NO,NO,2*,7+ 8,5+10
Bacanora,,CBN,2005,CS,NO,SI,2*,7+9,5+10
Greina,,CBN,2005,CS,NO,NO,2*,7+9,5+10
W01041,INTA Barrow,CBN,2005,CNN,NO,NO,2*,7+ 8,5+10
