Linea;Criadero;Origen;Año;CS/CNN;1AL/1RS;1BL/1RS;Glu-A1;Glu-B1;Glu-D1
JN03016;INTA Saenz Peña;;2004;CS;NO;NO;2*;7+9;5+10
JN04001;INTA Saenz Peña;;2004;CS;NO;NO;2*;7+8;5+10
JN04002;INTA Saenz Peña;;2004;CNN;NO;NO;2*;17+18;5+10
JN04003;INTA Saenz Peña;;2004;CS;NO;SI;1;7+9;5+10
JN04004;INTA Saenz Peña;;2004;CNN;NO;SI;1;7+8;5+10
JN04007;INTA Saenz Peña;;2004;CS;NO;SI;2*;7+9;5+10
JN04008;INTA Saenz Peña;;2004;CNN;NO;SI;1;7+8;5+10
JN04009;INTA Saenz Peña;;2004;CNN;NO;SI;1;7+8;5+10
JN04013;INTA Saenz Peña;;2004;CS;NO;NO;1;17+18;5+10
JN04014;INTA Saenz Peña;;2004;CS;NO;NO;2*;7+9;5+10
JN04015;INTA Saenz Peña;;2004;CS;NO;NO;2*;7+9;5+10
JN04016;INTA Saenz Peña;;2004;CS;NO;NO;1;17+18/7+8;5+10
R04001;INTA Marcos Juarez;;2004;CS;SI;NO;2*;7+8;5+10
R04002;INTA Marcos Juarez;;2004;CS;SI;NO;2*;7+8;5+10
R04003;INTA Marcos Juarez;;2004;CS;NO;SI;1;7+9;5+10
R04004;INTA Marcos Juarez;;2004;CS;NO;SI;1;7+9;5+10
R04029;INTA Marcos Juarez;;2004;CS;NO;NO;1;7+8;5+10
R04033;INTA Marcos Juarez;;2004;CS;NO;NO;1;7+8;5+10
ACA 303;ACA;;2004;CNN;NO;NO;nulo?;7+8;5+10
ACA 304;ACA;;2004;CNN;NO;NO;nulo;7+8;5+10
ACA 601 ;ACA;;2004;CNN;NO;NO;2*;7+8;5+10
ACA 801;ACA;;2004;CS;NO;NO;2*;7+9;5+10
AGUARA;BUCK;;2004;CNN;NO;NO;2*;17+18;5+10
GUATIMOZIN;BUCK;;2004;CNN;NO;NO;2*;7+8;5+10
MEJORPAN;BUCK;;2004;CNN;NO;NO;2*;7+8;5+10
BAGUETTE 11;NIDERA;;2004;CS;NO;NO;2*;7+8;5+10
BAGUETTE 13;NIDERA;;2004;CS;NO;NO;2*;7+9;5+10
BIOINTA 1000;INTA;;2004;CNN;NO;NO;1;7+8;5+10
BIOINTA 1001;INTA;;2004;CS;NO;SI;1;7+9;5+10
BIOINTA 3000;INTA;;2004;CS;NO;NO;1;7+8;5+10
BIOINTA 3002;INTA;;2004;CS;NO;NO;1;7+8;5+10
BIOINTA 3003;INTA;;2004;CS;SI;NO;;;
INIA CHURRINCHE;INIA;;2004;CS;NO;NO;2*;7+8;5+10
INIA TIJERETA;INIA;;2004;CS;NO;NO;2*;17+18;5+10
CAPRICORNIO;KLEIN;;2004;CS;NO;NO;2*;7+8;5+10
ESCORPIÓN;KLEIN;;2004;CS;NO;NO;1;7+9;5+10
GAVILAN;KLEIN;;2004;CS;NO;SI;2*;7+9;5+10
PROTEO;KLEIN;;2004;CS;NO;NO;1;7+9;5+10
ONIX;DON MARIO;;2004;CS;NO;NO;2*;7+9;5+10
PROINTA GAUCHO;INTA;;2004;CS;NO;SI;1;7+9;5+10
PROINTA GRANAR;INTA;;2004;CS;NO;SI;2*;13+16;5+10
J 01006;INTA Marcos Juarez;;2004;CS;NO;NO;2*;7+9;5+10
JN 01005;INTA Saenz Peña;;2004;CS;NO;NO;1;7+9;5+10
